Designator,Mid X,Mid Y,Rotation,Layer
Q14,255.48125,-90.45,180.0,top
Q15,312.1725,-114.36,90.0,top
Q16,319.4275,-115.94,270.0,top
Q17,312.1725,-101.6,90.0,top
Q18,319.5,-103.18,270.0,top
Q19,255.41875,-94.575,180.0,top
Q2,318.925,-141.565,270.0,top
Q20,306.2,-150.8625,270.0,top
Q3,312.02,-126.86,90.0,top
Q4,319.225,-128.64,270.0,top
Q5,314.3,-88.9,0.0,top
Q6,285.2,-150.8,270.0,top
Q7,255.5875,-82.55,180.0,top
Q8,307.2625,-88.85,0.0,top
Q9,300.3375,-88.8,0.0,top
R100,293.6,-148.3,270.0,top
R101,290.7,-148.3,90.0,top
R102,302.75,-155.6,270.0,top
R103,300.7,-148.4,270.0,top
R104,297.85,-148.3625,90.0,top
R105,251.91875,-85.625,180.0,top
R106,251.89375,-87.525,0.0,top
R107,258.49375,-86.625,90.0,top
R108,251.86875,-89.55,180.0,top
R109,251.86875,-91.45,0.0,top
R110,258.3,-90.45,90.0,top
R111,267.2,-153.7,90.0,top
R112,274.2,-153.725,90.0,top
R113,265.5,-153.725,270.0,top
R114,272.4,-153.725,270.0,top
R115,273.2,-127.4,90.0,top
R118,279.8,-122.9,0.0,top
R119,295.6,-129.5,270.0,top
R120,295.5,-107.725,270.0,top
R121,286.4,-129.5,90.0,top
R122,279.8,-121.4,180.0,top
R123,320.6,-114.0,180.0,bottom
R124,306.7875,-105.8,0.0,top
R125,321.2,-95.7,0.0,top
R127,251.84375,-93.575,180.0,top
R128,251.84375,-95.575,0.0,top
R129,258.28125,-94.625,90.0,top
R130,304.75,-148.3625,90.0,top
R131,307.6,-148.4,270.0,top
R132,309.7,-155.7,270.0,top
R133,286.4,-102.7,270.0,top
R134,295.6,-126.235,90.0,top
R135,294.5,-135.25,180.0,top
R136,295.5,-104.725,270.0,top
R137,280.4,-117.6,0.0,top
R138,280.4,-116.0,180.0,top
R139,286.4,-105.8,90.0,top
R142,239.2,-137.6,0.0,top
R147,238.825,-152.1,180.0,top
R148,238.825,-155.3,0.0,top
R149,235.6,-153.6,0.0,top
R150,274.1,-138.35,90.0,top
R151,275.7,-138.35,270.0,top
R153,282.2,-113.2,90.0,top
R154,280.7,-113.2,270.0,top
R155,271.8,-74.735,270.0,top
R156,264.0,-74.675,270.0,top
R157,270.2,-74.735,270.0,top
R158,262.5,-74.675,270.0,top
R159,274.1,-110.575,270.0,top
R160,256.8,-78.7,0.0,top
R161,277.1,-110.6,90.0,top
R162,275.6,-110.6,270.0,top
R29,293.2,-72.9,270.0,top
R30,293.2,-75.98,270.0,top
R31,306.3925,-143.875,0.0,top
R32,320.4125,-139.2,180.0,bottom
R33,306.6,-130.9,0.0,top
R34,276.8,-78.0,180.0,top
R35,306.8,-118.5,0.0,top
R36,319.6,-76.1,270.0,top
R41,320.5,-126.8,180.0,bottom
R43,317.175,-88.9,270.0,top
R44,316.375,-91.375,180.0,top
R45,283.9,-148.3,270.0,top
R46,286.7,-148.3,90.0,top
R47,288.7,-155.6,270.0,top
R48,251.925,-83.55,0.0,top
R49,251.95,-81.65,180.0,top
R50,258.45,-82.55,90.0,top
R51,258.15,-132.05,180.0,top
R52,238.4375,-95.55,0.0,top
R53,238.4375,-93.65,0.0,top
R54,238.475,-89.6,0.0,top
R55,238.475,-91.4,0.0,top
R56,322.4,-89.8,180.0,top
R57,318.4,-152.375,270.0,top
R58,291.8,-83.1,135.0,top
R59,299.9,-77.4,270.0,top
R60,301.5,-77.35458,270.0,top
R61,294.9,-75.98,270.0,top
R62,303.1,-77.35458,270.0,top
R63,262.3,-141.05,0.0,top
R64,303.1,-71.9,90.0,top
R65,243.0,-86.175,270.0,top
R66,241.4,-86.175,90.0,top
R67,243.0,-82.6,90.0,top
R68,239.8,-82.575,270.0,top
R69,241.825,-91.8,180.0,top
R70,253.1,-153.7,90.0,top
R71,275.7,-141.5,90.0,top
R72,277.3,-141.5,270.0,top
R73,251.3,-153.675,270.0,top
R74,260.3,-153.675,90.0,top
R75,258.5,-153.675,270.0,top
R76,274.38,-68.5,0.0,bottom
R77,241.825,-93.3,180.0,top
R80,310.1625,-88.825,270.0,top
R81,309.3,-91.3,180.0,top
R82,303.1875,-88.9,270.0,top
R83,302.45,-91.3,180.0,top
R84,296.1375,-88.95,270.0,top
R85,295.4,-91.35,180.0,top
R86,322.4,-88.2,180.0,top
R87,320.0,-155.575,270.0,top
R88,279.4,-136.6,90.0,top
R89,271.1,-99.0,315.0,top
R90,266.4,-104.0,315.0,top
R91,269.3,-100.8,315.0,top
R92,295.7,-155.6,270.0,top
R93,248.0,-105.1,0.0,top
R94,251.4,-105.2,0.0,top
R95,238.2,-106.2625,90.0,top
R96,236.4,-112.1,270.0,top
R97,241.9,-106.2625,90.0,top
R98,238.2,-101.025,90.0,top
R99,242.0,-101.025,90.0,top
RV1,250.0,-110.3,90.0,top
TP1,261.7,-110.9,180.0,top
U1,271.575,-118.85,270.0,top
U2,255.76,-73.4625,180.0,bottom
U3,253.485,-136.775,180.0,top
U4,306.695,-75.59208,270.0,top
U7,290.7,-74.01,270.0,top
Y1,262.3,-114.7,270.0,top
